id;start_date;end_date;language
1;2020-10-22T06:53:20;2020-10-22T04:43:35;SPANISH
2;2020-10-21T11:43:31;2020-10-22T06:47:56;SPANISH
3;2020-10-22T02:38:50;2020-10-21T13:12:59;FRENCH
4;2020-10-21T17:56:21;2020-10-22T05:27:47;FRENCH
5;2020-10-22T03:26:39;2020-10-22T08:13:38;FRENCH
6;2020-10-21T21:19:00;2020-10-22T09:27:14;FRENCH
7;2020-10-21T23:04:20;2020-10-21T16:55:11;FRENCH
8;2020-10-21T22:00:33;2020-10-22T08:16:41;SPANISH
9;2020-10-21T20:41:42;2020-10-21T17:23:05;SPANISH
10;2020-10-22T04:53:46;2020-10-21T15:28:16;SPANISH
